timestamp,machineId,jobId,partNumber,cycleNo,cycleTimeSec,spindleRpmAvg,feedRateAvg,energyKWh,peakPowerKW,idleEnergyKWh,runningEnergyKWh
2026-07-01T06:17:24,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,1,78,7843.6,1751.0,0.8906,42.25,0.1352,0.7554
2026-07-01T06:18:22,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,2,69,7120.2,1587.1,0.6575,33.42,0.0944,0.5631
2026-07-01T06:27:06,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,3,68,8046.9,1686.6,0.7032,37.54,0.0882,0.615
2026-07-01T06:29:33,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,4,73,7947.3,1704.9,0.733,36.82,0.0787,0.6543
2026-07-01T06:32:41,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,5,68,8051.4,1718.8,0.7223,41.08,0.065,0.6573
2026-07-01T06:35:05,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,6,72,8376.8,1370.3,0.8271,43.37,0.0829,0.7442
2026-07-01T06:36:26,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,7,79,7182.4,1618.4,0.789,35.44,0.1159,0.6731
2026-07-01T06:38:17,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,8,68,8064.2,1428.5,0.7736,40.63,0.0758,0.6978
2026-07-01T06:41:10,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,9,67,7740.1,1563.6,0.7084,35.14,0.0937,0.6147
2026-07-01T06:44:28,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,10,71,7087.0,1605.9,0.6029,33.97,0.0481,0.5548
2026-07-01T06:53:04,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,11,76,7510.3,1570.5,0.6943,38.74,0.0592,0.6351
2026-07-01T07:01:42,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,12,67,7579.5,1590.8,0.7116,34.75,0.1054,0.6062
2026-07-01T07:02:53,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,13,76,8624.8,1809.3,0.9003,42.77,0.1279,0.7724
2026-07-01T07:07:10,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,14,71,8315.9,1680.7,0.8122,39.74,0.1143,0.6979
2026-07-01T07:10:51,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,15,77,7447.0,1558.5,0.7197,33.47,0.092,0.6277
2026-07-01T07:20:54,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,16,73,7833.2,1503.0,0.7479,43.07,0.0676,0.6803
2026-07-01T07:23:38,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,17,74,7607.6,1551.2,0.8964,43.77,0.113,0.7834
2026-07-01T07:25:59,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,18,72,6946.8,1859.8,0.7395,35.51,0.0777,0.6618
2026-07-01T07:33:32,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,19,71,7023.5,1440.2,0.7357,39.97,0.1078,0.6279
2026-07-01T07:34:47,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,20,67,8065.6,1728.5,0.7472,39.31,0.0702,0.677
2026-07-01T07:46:43,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,21,68,7840.4,1429.2,0.7238,44.26,0.0978,0.626
2026-07-01T08:00:22,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,22,67,7849.9,1755.3,0.7928,41.53,0.115,0.6778
2026-07-01T08:07:40,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,23,69,7891.3,1566.8,0.7164,38.98,0.0813,0.6351
2026-07-01T08:08:41,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,24,73,7758.2,1500.5,0.6559,38.52,0.0537,0.6022
2026-07-01T08:10:09,HURCO-M10-01,JOB-M10-1001,M10-BRKT-AL6061,25,75,7274.8,1891.1,0.8455,39.37,0.125,0.7205
