timestamp,machineId,partNumber,jobId,dimensionName,nominalValueMm,measuredValueMm,tolerancePlusMm,toleranceMinusMm,result,surfaceRaUm,inspectorId
2026-07-07T00:14:47,HURCO-M10-01,M10-HOUSING-CAST,JOB-M10-1008,Parallelism,0.035,0.035,0.01,-0.01,PASS,0.832,OP-003
2026-07-05T14:34:33,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Slot Width,0.02,0.02,0.01,-0.01,PASS,1.194,OP-006
2026-07-05T05:45:14,HURCO-M10-01,M10-PLATE-AL7075,JOB-M10-1002,Perimeter Profile,0.03,0.03,0.01,-0.01,PASS,1.041,OP-001
2026-07-02T04:31:13,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Edge Profile,0.025,0.025,0.01,-0.01,PASS,0.792,OP-005
2026-07-07T23:48:21,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Flatness,0.03,0.03,0.01,-0.01,PASS,0.969,OP-003
2026-07-03T16:54:21,HURCO-M10-01,M10-HSG-C45,JOB-M10-1003,Hole Depth,0.05,0.05,0.01,-0.01,PASS,1.803,OP-006
2026-07-07T15:46:11,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Contour Finish,1.6,1.6,0.2,-0.2,PASS,0.717,OP-007
2026-07-03T22:55:29,HURCO-M10-01,M10-HSG-C45,JOB-M10-1003,Hole Depth,0.05,0.05,0.01,-0.01,PASS,1.7,OP-007
2026-07-03T07:00:15,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Slot Width,0.02,0.02,0.01,-0.01,PASS,0.88,OP-006
2026-07-05T09:20:19,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Edge Profile,0.025,0.025,0.01,-0.01,PASS,0.929,OP-002
2026-07-03T08:02:35,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Flatness,0.03,0.03,0.01,-0.01,PASS,0.794,OP-005
2026-07-03T04:46:01,HURCO-M10-01,M10-BRKT-AL6061,JOB-M10-1001,Face Flatness,0.035,0.035,0.01,-0.01,PASS,1.62,OP-004
2026-07-08T04:13:26,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Slot Width,0.02,0.02,0.01,-0.01,PASS,1.51,OP-009
2026-07-03T08:15:07,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Flatness,0.03,0.03,0.01,-0.01,PASS,0.888,OP-004
2026-07-08T03:38:24,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Slot Width,0.02,0.02,0.01,-0.01,PASS,1.108,OP-007
2026-07-04T07:50:37,HURCO-M10-01,M10-BRKT-STEEL,JOB-M10-1006,Surface Finish,1.2,1.2,0.15,-0.15,PASS,1.212,OP-002
2026-07-03T07:16:34,HURCO-M10-01,M10-PLATE-AL2024,JOB-M10-1007,Flatness,0.03,0.03,0.01,-0.01,PASS,0.792,OP-010
2026-07-06T02:24:33,HURCO-M10-01,M10-PLATE-AL7075,JOB-M10-1002,Perimeter Profile,0.03,0.03,0.01,-0.01,PASS,0.847,OP-004
2026-07-03T12:32:30,HURCO-M10-01,M10-PLATE-AL7075,JOB-M10-1002,Pocket Depth,12.0,12.0,0.015,-0.015,PASS,0.503,OP-010
2026-07-07T08:30:29,HURCO-M10-01,M10-BRKT-STEEL,JOB-M10-1006,Hole Location,0.04,0.04,0.015,-0.015,PASS,1.71,OP-006
2026-07-04T21:11:32,HURCO-M10-01,M10-BRKT-STEEL,JOB-M10-1006,Hole Location,0.04,0.04,0.015,-0.015,PASS,1.472,OP-001
2026-07-01T06:53:04,HURCO-M10-01,M10-BRKT-AL6061,JOB-M10-1001,Hole Position,0.04,0.04,0.015,-0.015,PASS,0.816,OP-009
2026-07-03T04:49:36,HURCO-M10-01,M10-BRKT-AL6061,JOB-M10-1001,Face Flatness,0.035,0.035,0.01,-0.01,PASS,0.525,OP-006
2026-07-07T14:15:40,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Edge Profile,0.025,0.025,0.01,-0.01,PASS,0.752,OP-003
2026-07-02T03:44:40,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Contour Finish,1.6,1.6,0.2,-0.2,PASS,1.241,OP-001
2026-07-05T07:34:42,HURCO-M10-01,M10-COVER-AL5052,JOB-M10-1005,Contour Finish,1.6,1.6,0.2,-0.2,PASS,1.252,OP-003
