timestamp,machineId,tool,toolType,material,toolLifePct,cuttingTimeMin,spindleLoadAvgPct,vibrationAvgMmSec,temperatureAvgC,wearLevel,predictedRemainingLifeMin,maintenanceRecommendation
2026-07-01T14:00:00,HURCO-M10-01,CH02,Chamfer Mill 2mm,316L Stainless,89.2,97.8,63.98,1.07,67.33,LOW,364.6,Continue production and monitor tool wear trend
2026-07-01T14:00:00,HURCO-M10-01,DR05,Drill 5mm,316L Stainless,88.2,59.1,65.75,1.187,69.16,LOW,227.6,Continue production and monitor tool wear trend
2026-07-01T14:00:00,HURCO-M10-01,EM06,End Mill 6mm,316L Stainless,93.1,61.4,67.14,1.024,72.66,LOW,244.7,Continue production and monitor tool wear trend
2026-07-01T14:00:00,HURCO-M10-01,EM10,End Mill 10mm,316L Stainless,79.2,95.6,67.32,1.188,67.06,MODERATE,303.6,Inspect tool at next planned changeover
2026-07-01T14:00:00,HURCO-M10-01,FM50,Face Mill 50mm,316L Stainless,89.0,57.7,67.61,1.223,73.21,LOW,147.3,Continue production and monitor tool wear trend
2026-07-01T14:00:00,HURCO-M10-01,TAP08,Tap M8,316L Stainless,86.7,98.9,64.29,1.145,67.71,LOW,405.7,Continue production and monitor tool wear trend
2026-07-01T22:00:00,HURCO-M10-01,BN08,Ball Nose 8mm,Aluminum 5052,84.0,101.1,66.7,1.168,69.52,MODERATE,225.2,Inspect tool at next planned changeover
2026-07-01T22:00:00,HURCO-M10-01,CH02,Chamfer Mill 2mm,Aluminum 5052,81.0,152.9,40.02,0.782,43.11,MODERATE,440.3,Inspect tool at next planned changeover
2026-07-01T22:00:00,HURCO-M10-01,DR05,Drill 5mm,Aluminum 5052,84.8,61.2,31.77,0.532,37.3,MODERATE,211.2,Inspect tool at next planned changeover
2026-07-01T22:00:00,HURCO-M10-01,EM06,End Mill 6mm,Aluminum 5052,88.1,97.1,41.11,0.689,42.58,LOW,280.2,Continue production and monitor tool wear trend
2026-07-01T22:00:00,HURCO-M10-01,TAP08,Tap M8,Aluminum 5052,82.4,58.2,24.96,0.434,24.93,MODERATE,116.6,Inspect tool at next planned changeover
2026-07-02T06:00:00,HURCO-M10-01,BN08,Ball Nose 8mm,Aluminum 5052,76.1,156.2,40.85,0.769,42.29,MODERATE,405.9,Inspect tool at next planned changeover
2026-07-02T06:00:00,HURCO-M10-01,CH02,Chamfer Mill 2mm,Aluminum 5052,73.1,156.8,25.98,0.487,26.55,MODERATE,450.5,Inspect tool at next planned changeover
2026-07-02T06:00:00,HURCO-M10-01,EM06,End Mill 6mm,Aluminum 5052,80.7,157.4,32.67,0.625,35.63,MODERATE,533.2,Inspect tool at next planned changeover
2026-07-02T14:00:00,HURCO-M10-01,CH02,Chamfer Mill 2mm,Cast Iron,67.2,116.2,15.54,0.305,15.42,HIGH,360.6,Prepare replacement tool and verify offset compensation
2026-07-02T14:00:00,HURCO-M10-01,DR05,Drill 5mm,Cast Iron,79.0,115.8,34.54,0.658,35.89,MODERATE,383.6,Inspect tool at next planned changeover
2026-07-02T14:00:00,HURCO-M10-01,EM10,End Mill 10mm,Cast Iron,73.5,115.8,35.62,0.673,37.06,MODERATE,359.0,Inspect tool at next planned changeover
2026-07-02T14:00:00,HURCO-M10-01,FM50,Face Mill 50mm,Cast Iron,83.5,122.6,45.85,0.768,50.69,MODERATE,344.4,Inspect tool at next planned changeover
2026-07-02T22:00:00,HURCO-M10-01,CH02,Chamfer Mill 2mm,Cast Iron,60.6,132.7,14.58,0.291,14.05,HIGH,255.0,Prepare replacement tool and verify offset compensation
