timestamp,machineId,alarmCode,alarmType,severity,description,durationSec,status,operatorAction
2026-07-01T06:12:36,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,260,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T06:13:36,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,178,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T06:14:23,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,141,ACTIVE,Rehomed axis and verified servo load
2026-07-01T06:18:56,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,150,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T06:20:07,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,109,ACKNOWLEDGED,Inspected oil line and topped up reservoir
2026-07-01T06:36:13,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,82,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T06:38:59,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,119,ACTIVE,Cleared area and reset safety circuit
2026-07-01T06:47:13,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,268,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T06:47:29,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,76,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T07:07:33,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,74,CLEARED,Replaced insert and reset tool life counter
2026-07-01T07:14:50,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,410,CLEARED,Refilled coolant and restarted pump
2026-07-01T07:16:37,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,20,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T07:25:19,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,105,ACTIVE,Rehomed axis and verified servo load
2026-07-01T07:27:12,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,37,ACKNOWLEDGED,Paused cycle and checked tool engagement
2026-07-01T07:35:48,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,87,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T07:38:38,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,241,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T07:39:19,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,46,CLEARED,Paused cycle and checked tool engagement
2026-07-01T07:39:33,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,143,ACTIVE,Checked pump and confirmed pressure recovery
2026-07-01T07:40:53,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,59,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T07:44:27,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,313,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T07:54:19,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,275,ACKNOWLEDGED,Refilled coolant and restarted pump
2026-07-01T07:56:46,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,196,ACTIVE,Cleared area and reset safety circuit
2026-07-01T08:14:18,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,85,CLEARED,Checked pump and confirmed pressure recovery
2026-07-01T08:15:46,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,207,CLEARED,Refilled coolant and restarted pump
2026-07-01T08:15:54,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,181,ACKNOWLEDGED,Rehomed axis and verified servo load
2026-07-01T08:16:02,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,108,CLEARED,Paused cycle and checked tool engagement
2026-07-01T08:16:09,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,20,CLEARED,Inspected oil line and topped up reservoir
2026-07-01T08:16:18,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,208,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T08:16:31,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,166,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T08:16:40,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,145,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T08:16:47,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,141,CLEARED,Rehomed axis and verified servo load
2026-07-01T08:16:59,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,20,CLEARED,Cleared area and reset safety circuit
2026-07-01T08:17:10,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,20,ACTIVE,Refilled coolant and restarted pump
2026-07-01T08:17:23,TURMIK-Q15-01,A611,HYDRAULIC,HIGH,Hydraulic pressure low,232,ACKNOWLEDGED,Checked pump and confirmed pressure recovery
2026-07-01T08:17:37,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,136,ACTIVE,Inspected oil line and topped up reservoir
2026-07-01T08:18:09,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,304,ACTIVE,Rehomed axis and verified servo load
2026-07-01T08:18:22,TURMIK-Q15-01,A415,SAFETY,HIGH,Door interlock open during cycle,79,ACKNOWLEDGED,Cleared area and reset safety circuit
2026-07-01T08:19:06,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,58,CLEARED,Rehomed axis and verified servo load
2026-07-01T08:19:29,TURMIK-Q15-01,A205,AXIS,HIGH,Axis X servo following error,96,CLEARED,Rehomed axis and verified servo load
2026-07-01T08:30:04,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,257,ACKNOWLEDGED,Replaced insert and reset tool life counter
2026-07-01T08:46:04,TURMIK-Q15-01,A722,TOOL,LOW,Tool life threshold reached,20,ACTIVE,Replaced insert and reset tool life counter
2026-07-01T08:49:33,TURMIK-Q15-01,A312,COOLANT,MEDIUM,Coolant level low,262,ACTIVE,Refilled coolant and restarted pump
2026-07-01T09:08:24,TURMIK-Q15-01,A101,SPINDLE,HIGH,Spindle overload detected,152,ACTIVE,Paused cycle and checked tool engagement
2026-07-01T09:12:45,TURMIK-Q15-01,A509,LUBRICATION,MEDIUM,Lubrication pressure below threshold,121,ACTIVE,Inspected oil line and topped up reservoir
