timestamp,machineId,jobId,partNumber,cycleNo,cycleTimeSec,spindleRpmAvg,feedRateAvg,energyKWh,peakPowerKW,idleEnergyKWh,runningEnergyKWh
2026-07-01T06:09:05,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,1,56,6170.7,1513.6,0.4998,34.51,0.0448,0.455
2026-07-01T06:10:00,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,2,54,6181.6,1548.3,0.4309,34.94,0.0349,0.396
2026-07-01T06:10:53,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,3,60,7419.4,1565.6,0.6714,44.88,0.0939,0.5775
2026-07-01T06:16:10,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,4,53,5911.1,1346.1,0.4674,29.98,0.0638,0.4036
2026-07-01T06:17:02,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,5,57,6702.5,1423.8,0.5126,32.43,0.0747,0.4379
2026-07-01T06:17:58,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,6,60,6591.4,1283.7,0.5793,33.28,0.0618,0.5175
2026-07-01T06:22:16,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,7,51,6684.9,1491.2,0.4516,34.42,0.0347,0.4169
2026-07-01T06:25:32,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,8,53,7035.7,1580.9,0.497,32.63,0.0538,0.4432
2026-07-01T06:26:15,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,9,54,6338.3,1231.7,0.5177,34.31,0.0702,0.4475
2026-07-01T06:27:14,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,10,55,6646.7,1385.6,0.4643,34.38,0.0472,0.4171
2026-07-01T06:28:28,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,11,60,6426.2,1463.3,0.5088,30.75,0.0436,0.4652
2026-07-01T06:31:34,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,12,50,6895.3,1396.0,0.5102,36.85,0.0736,0.4366
2026-07-01T06:34:01,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,13,56,6835.4,1418.9,0.5334,33.96,0.0525,0.4809
2026-07-01T06:34:58,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,14,60,6093.4,1256.5,0.5113,33.32,0.0399,0.4714
2026-07-01T06:37:12,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,15,52,6483.0,1395.6,0.4188,30.06,0.0443,0.3745
2026-07-01T06:38:46,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,16,54,6243.2,1258.0,0.4892,36.69,0.0525,0.4367
2026-07-01T06:40:01,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,17,56,6438.3,1204.8,0.5187,32.13,0.0662,0.4525
2026-07-01T06:40:56,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,18,55,6897.6,1515.8,0.5447,38.38,0.0554,0.4893
2026-07-01T06:42:10,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,19,54,6716.0,1511.0,0.4947,34.4,0.0663,0.4284
2026-07-01T06:43:24,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,20,55,6827.6,1438.1,0.5064,37.47,0.0475,0.4589
2026-07-01T06:45:25,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,21,53,6057.9,1590.8,0.506,33.94,0.0515,0.4545
2026-07-01T06:50:09,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,22,53,6102.9,1559.9,0.4614,34.88,0.0397,0.4217
2026-07-01T06:51:49,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,23,51,7106.6,1395.8,0.51,40.06,0.0395,0.4705
2026-07-01T06:52:47,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,24,51,6595.4,1510.3,0.4769,34.54,0.058,0.4189
2026-07-01T06:55:48,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,25,52,7211.8,1368.7,0.5329,32.42,0.0672,0.4657
2026-07-01T06:56:49,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,26,54,6356.1,1333.0,0.4745,32.48,0.0701,0.4044
2026-07-01T07:00:39,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,27,60,6774.2,1482.4,0.5919,37.26,0.089,0.5029
2026-07-01T07:01:46,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,28,53,6775.0,1390.4,0.5041,36.29,0.0535,0.4506
2026-07-01T07:02:36,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,29,53,5971.1,1324.4,0.494,33.23,0.0715,0.4225
2026-07-01T07:04:11,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,30,50,6581.2,1444.1,0.446,40.05,0.0413,0.4047
2026-07-01T07:05:57,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,31,52,6091.6,1550.5,0.4401,31.88,0.0653,0.3748
2026-07-01T07:06:41,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,32,54,6429.5,1449.3,0.5125,34.08,0.072,0.4405
2026-07-01T07:09:35,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,33,59,6450.2,1337.9,0.5034,31.76,0.0558,0.4476
2026-07-01T07:10:39,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,34,50,6177.7,1410.8,0.4472,34.01,0.0386,0.4086
2026-07-01T07:12:00,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,35,50,6584.4,1281.6,0.501,34.62,0.0742,0.4268
2026-07-01T07:14:30,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,36,54,6067.9,1569.0,0.5009,32.0,0.0634,0.4375
2026-07-01T07:19:53,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,37,60,6104.1,1480.4,0.532,29.9,0.0558,0.4762
2026-07-01T07:20:56,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,38,54,6534.7,1553.1,0.5358,36.43,0.0405,0.4953
2026-07-01T07:22:33,TURMIK-Q15-01,JOB-Q15-1001,Q15-SHAFT-AL6061,39,55,6702.2,1416.6,0.4854,36.7,0.0572,0.4282
