timestamp,machineId,partNumber,jobId,dimensionName,nominalValueMm,measuredValueMm,tolerancePlusMm,toleranceMinusMm,result,surfaceRaUm,inspectorId
2026-07-07T03:12:57,TURMIK-Q15-01,Q15-GEAR-AL7075,JOB-Q15-1009,Tooth Depth,2.4,2.4,0.01,-0.01,PASS,0.35,OP-003
2026-07-04T08:02:16,TURMIK-Q15-01,Q15-SHAFT-AL6061,JOB-Q15-1001,OD Diameter,40.0,39.999,0.02,-0.015,PASS,1.126,OP-008
2026-07-05T13:08:58,TURMIK-Q15-01,Q15-CAP-BRASS,JOB-Q15-1004,Groove Depth,1.8,1.8,0.005,-0.005,PASS,1.298,OP-002
2026-07-07T09:39:02,TURMIK-Q15-01,Q15-SLEEVE-PA66,JOB-Q15-1010,OD Diameter,28.0,28.0,0.01,-0.01,PASS,1.857,OP-009
2026-07-04T06:09:56,TURMIK-Q15-01,Q15-SLEEVE-PA66,JOB-Q15-1010,Wall Thickness,2.2,2.2,0.008,-0.008,PASS,1.571,OP-005
2026-07-07T04:09:35,TURMIK-Q15-01,Q15-GEAR-AL7075,JOB-Q15-1009,Tooth Depth,2.4,2.4,0.01,-0.01,PASS,0.787,OP-001
2026-07-01T15:11:12,TURMIK-Q15-01,Q15-HOUSING-316L,JOB-Q15-1003,Bore Diameter,28.0,28.0,0.02,-0.02,PASS,1.136,OP-008
2026-07-06T02:58:59,TURMIK-Q15-01,Q15-VALVE-17-4PH,JOB-Q15-1006,Seat Diameter,18.5,18.5,0.015,-0.015,PASS,0.964,OP-009
2026-07-02T14:54:45,TURMIK-Q15-01,Q15-SLEEVE-PA66,JOB-Q15-1010,Wall Thickness,2.2,2.2,0.008,-0.008,PASS,1.297,OP-007
2026-07-07T00:00:26,TURMIK-Q15-01,Q15-GEAR-AL7075,JOB-Q15-1009,Pitch Diameter,48.0,48.0,0.015,-0.015,PASS,0.808,OP-006
2026-07-07T09:54:05,TURMIK-Q15-01,Q15-SLEEVE-PA66,JOB-Q15-1010,OD Diameter,28.0,28.0,0.01,-0.01,PASS,1.628,OP-010
2026-07-06T03:52:56,TURMIK-Q15-01,Q15-VALVE-17-4PH,JOB-Q15-1006,Seat Diameter,18.5,18.539,0.015,-0.015,FAIL,1.377,OP-006
2026-07-05T02:08:47,TURMIK-Q15-01,Q15-HOUSING-316L,JOB-Q15-1003,Concentricity,0.035,0.035,0.01,-0.01,PASS,0.59,OP-001
