timestamp,machineId,tool,toolType,material,toolLifePct,cuttingTimeMin,spindleLoadAvgPct,vibrationAvgMmSec,temperatureAvgC,wearLevel,predictedRemainingLifeMin,maintenanceRecommendation
2026-07-01T14:00:00,TURMIK-Q15-01,T01,CNMG Insert Holder,Brass,88.8,218.7,66.09,1.146,68.74,LOW,911.4,Continue production and monitor tool wear trend
2026-07-01T14:00:00,TURMIK-Q15-01,T03,OD Rough Boring Bar,Brass,89.3,42.0,65.1,1.161,65.13,LOW,114.8,Continue production and monitor tool wear trend
2026-07-01T14:00:00,TURMIK-Q15-01,T06,Parting Tool,Brass,90.5,173.6,64.61,1.067,63.25,LOW,465.8,Continue production and monitor tool wear trend
2026-07-01T14:00:00,TURMIK-Q15-01,T07,Threading Insert,Brass,96.8,36.2,65.61,1.061,66.62,LOW,124.8,Continue production and monitor tool wear trend
2026-07-01T22:00:00,TURMIK-Q15-01,T01,CNMG Insert Holder,316L Stainless,77.3,122.6,23.98,0.443,24.45,MODERATE,282.7,Inspect tool at next planned changeover
2026-07-01T22:00:00,TURMIK-Q15-01,T05,Live Milling Head,316L Stainless,84.8,116.2,64.67,1.068,62.79,MODERATE,436.1,Inspect tool at next planned changeover
2026-07-01T22:00:00,TURMIK-Q15-01,T08,Center Drill,316L Stainless,77.7,114.6,65.22,1.194,65.49,MODERATE,242.8,Inspect tool at next planned changeover
2026-07-01T22:00:00,TURMIK-Q15-01,T11,Probe Stylus,316L Stainless,79.6,116.9,66.15,1.206,68.27,MODERATE,381.8,Inspect tool at next planned changeover
2026-07-02T06:00:00,TURMIK-Q15-01,T02,VNMG Insert Holder,17-4 PH Stainless,80.0,89.6,67.26,1.187,65.34,MODERATE,221.7,Inspect tool at next planned changeover
2026-07-02T06:00:00,TURMIK-Q15-01,T03,OD Rough Boring Bar,17-4 PH Stainless,87.7,40.6,30.15,0.517,33.88,LOW,128.4,Continue production and monitor tool wear trend
2026-07-02T06:00:00,TURMIK-Q15-01,T05,Live Milling Head,17-4 PH Stainless,77.4,81.9,26.75,0.542,27.02,MODERATE,257.3,Inspect tool at next planned changeover
2026-07-02T06:00:00,TURMIK-Q15-01,T07,Threading Insert,17-4 PH Stainless,94.7,40.4,35.2,0.559,34.83,LOW,151.3,Continue production and monitor tool wear trend
2026-07-02T06:00:00,TURMIK-Q15-01,T09,Carbide Drill,17-4 PH Stainless,85.2,89.5,66.46,1.137,68.59,LOW,257.9,Continue production and monitor tool wear trend
2026-07-02T06:00:00,TURMIK-Q15-01,T10,Chamfer Mill,17-4 PH Stainless,86.8,36.1,66.44,1.177,71.81,LOW,85.1,Continue production and monitor tool wear trend
2026-07-02T06:00:00,TURMIK-Q15-01,T12,Grooving Tool,17-4 PH Stainless,85.3,92.2,62.98,1.12,64.01,LOW,256.5,Continue production and monitor tool wear trend
2026-07-02T14:00:00,TURMIK-Q15-01,T01,CNMG Insert Holder,Titanium Ti-6Al-4V,75.5,33.1,5.08,0.102,5.96,MODERATE,87.1,Inspect tool at next planned changeover
2026-07-02T14:00:00,TURMIK-Q15-01,T03,OD Rough Boring Bar,Titanium Ti-6Al-4V,85.1,34.1,21.18,0.333,19.76,LOW,83.2,Continue production and monitor tool wear trend
2026-07-02T14:00:00,TURMIK-Q15-01,T04,Finishing Boring Bar,Titanium Ti-6Al-4V,76.4,116.3,66.05,1.295,66.18,MODERATE,265.4,Inspect tool at next planned changeover
